Reservoir,Site,Date,Time,Depth_m,Filter,Fe_mgL,Mn_mgL,count_Fe_mgL,count_Mn_mgL
BVR,50,2015-07-23,NA      ,0.1,T,0.3686,0.02871,1,1
BVR,50,2015-07-23,NA      ,3,S,0.1779,0.00108,1,1
BVR,50,2015-07-23,NA      ,3,T,0.3872,0.02989,1,1
BVR,50,2015-07-23,NA      ,6,S,0.1171,0.4139,1,1
BVR,50,2015-07-23,NA      ,6,T,0.6355,0.4763,1,1
BVR,50,2015-07-23,NA      ,9,S,14.46,2.466,1,1
BVR,50,2015-07-23,NA      ,9,T,14.46,2.466,1,1
BVR,50,2015-07-23,NA      ,11,S,18,2.573,1,1
BVR,50,2015-07-23,NA      ,11,T,18,2.573,1,1
BVR,50,2015-07-30,NA      ,0.1,S,0.1641,3e-4,1,1
BVR,50,2015-07-30,NA      ,0.1,T,0.3405,0.02443,1,1
BVR,50,2015-07-30,NA      ,3,S,0.1606,0.00255,1,1
BVR,50,2015-07-30,NA      ,3,T,0.3441,0.02816,1,1
BVR,50,2015-07-30,NA      ,6,S,0.06127,0.6547,1,1
BVR,50,2015-07-30,NA      ,6,T,0.6007,0.8086,1,1
BVR,50,2015-07-30,NA      ,9,S,13.07,3.469,1,1
BVR,50,2015-07-30,NA      ,9,T,14.75,3.641,1,1
BVR,50,2015-07-30,NA      ,11,S,27.78,3.392,1,1
BVR,50,2015-07-30,NA      ,11,T,27.9,3.392,1,1
BVR,50,2015-08-13,NA      ,0.1,S,0.1702,0.0014,1,1
BVR,50,2015-08-13,NA      ,0.1,T,0.3526,0.02027,1,1
BVR,50,2015-08-13,NA      ,3,S,0.1754,0.00494,1,1
BVR,50,2015-08-13,NA      ,3,T,0.3634,0.02566,1,1
BVR,50,2015-08-13,NA      ,6,S,0.04964,0.08172,1,1
BVR,50,2015-08-13,NA      ,6,T,0.4384,0.1771,1,1
BVR,50,2015-08-13,NA      ,9,S,11.43,3.141,1,1
BVR,50,2015-08-13,NA      ,9,T,11.7,3.141,1,1
BVR,50,2015-08-13,NA      ,11,S,24.63,3.597,1,1
BVR,50,2015-08-13,NA      ,11,T,26.15,3.597,1,1
BVR,50,2015-08-20,NA      ,0.1,S,0.1569,4.4e-4,1,1
BVR,50,2015-08-20,NA      ,0.1,T,0.2968,0.01632,1,1
BVR,50,2015-08-20,NA      ,3,S,0.1622,0.00237,1,1
BVR,50,2015-08-20,NA      ,3,T,0.317,0.02131,1,1
BVR,50,2015-08-20,NA      ,6,S,0.07432,0.3123,1,1
BVR,50,2015-08-20,NA      ,6,T,0.4225,0.3732,1,1
BVR,50,2015-08-20,NA      ,9,S,14.76,3.681,1,1
BVR,50,2015-08-20,NA      ,9,T,14.76,3.681,1,1
BVR,50,2015-08-20,NA      ,11,S,27.82,3.747,1,1
BVR,50,2015-08-20,NA      ,11,T,29.74,3.853,1,1
BVR,50,2015-09-04,NA      ,0.1,S,0.196,0.00172,1,1
BVR,50,2015-09-04,NA      ,0.1,T,0.2961,0.01167,1,1
BVR,50,2015-09-04,NA      ,3,S,0.1801,0.00258,1,1
BVR,50,2015-09-04,NA      ,3,T,0.3275,0.01429,1,1
BVR,50,2015-09-04,NA      ,6,S,0.1555,0.05092,1,1
BVR,50,2015-09-04,NA      ,6,T,0.4767,0.0861,1,1
BVR,50,2015-09-04,NA      ,9,S,20.61,4.125,1,1
BVR,50,2015-09-04,NA      ,9,T,21.59,4.213,1,1
BVR,50,2015-09-04,NA      ,11,S,23.76,3.762,1,1
BVR,50,2015-09-04,NA      ,11,T,26.62,3.828,1,1
BVR,50,2015-09-18,NA      ,0.1,S,0.1711,0.00316,1,1
BVR,50,2015-09-18,NA      ,0.1,T,0.3206,0.01312,1,1
BVR,50,2015-09-18,NA      ,3,S,0.1639,0.00242,1,1
BVR,50,2015-09-18,NA      ,3,T,0.3385,0.01832,1,1
BVR,50,2015-09-18,NA      ,6,S,0.1615,0.1002,1,1
BVR,50,2015-09-18,NA      ,6,T,0.4851,0.1278,1,1
BVR,50,2015-09-18,NA      ,9,S,23.52,4.238,1,1
BVR,50,2015-09-18,NA      ,9,T,24.7,4.273,1,1
BVR,50,2015-09-18,NA      ,11,S,27.38,3.784,1,1
BVR,50,2015-09-18,NA      ,11,T,27.9,3.788,1,1
BVR,50,2015-10-02,NA      ,0.1,S,0.1161,0.00126,1,1
BVR,50,2015-10-02,NA      ,0.1,T,0.2475,0.0192,1,1
BVR,50,2015-10-02,NA      ,3,S,0.09954,0.00318,1,1
BVR,50,2015-10-02,NA      ,3,T,0.2239,0.01761,1,1
BVR,50,2015-10-02,NA      ,6,S,0.1336,0.01473,1,1
BVR,50,2015-10-02,NA      ,6,T,0.3195,0.0509,1,1
BVR,50,2015-10-02,NA      ,9,S,11.15,2.981,1,1
BVR,50,2015-10-02,NA      ,9,T,11.15,2.981,1,1
BVR,50,2015-10-02,NA      ,11,S,27.91,3.984,1,1
BVR,50,2015-10-02,NA      ,11,T,27.91,3.984,1,1
BVR,50,2015-10-23,NA      ,0.1,S,0.1129,0.1686,1,1
BVR,50,2015-10-23,NA      ,0.1,T,0.3173,0.2502,1,1
BVR,50,2015-10-23,NA      ,3,S,0.1077,0.1664,1,1
BVR,50,2015-10-23,NA      ,3,T,0.294,0.2465,1,1
BVR,50,2015-10-23,NA      ,6,S,0.1473,0.2229,1,1
BVR,50,2015-10-23,NA      ,6,T,0.4396,0.3475,1,1
BVR,50,2015-10-23,NA      ,9,S,30.82,4.247,1,1
BVR,50,2015-10-23,NA      ,9,T,30.83,4.247,1,1
BVR,50,2015-10-23,NA      ,11,S,32.02,4.107,1,1
BVR,50,2015-10-23,NA      ,11,T,37.4,4.367,1,1
BVR,50,2016-04-06,NA      ,0.1,S,0.01667,0.001888,1,1
BVR,50,2016-04-06,NA      ,0.1,T,0.150834,0.02262,1,1
BVR,50,2016-04-06,NA      ,3,S,0.017054,0.005508,1,1
BVR,50,2016-04-06,NA      ,3,T,0.156877,0.024293,1,1
BVR,50,2016-04-06,NA      ,6,S,0.028045,0.001337,1,1
BVR,50,2016-04-06,NA      ,6,T,0.209978,0.032913,1,1
BVR,50,2016-04-06,NA      ,9,S,0.053576,0.001567,1,1
BVR,50,2016-04-06,NA      ,9,T,0.396175,0.067779,1,1
BVR,50,2016-04-06,NA      ,11,S,0.087328,0.013266,1,1
BVR,50,2016-04-06,NA      ,11,T,0.537076,0.124943,1,1
BVR,50,2016-05-19,NA      ,0.1,S,0.024791,6.28e-4,1,1
BVR,50,2016-05-19,NA      ,0.1,T,0.160883,0.021375,1,1
BVR,50,2016-05-19,NA      ,3,S,0.026038,0.00118,1,1
BVR,50,2016-05-19,NA      ,3,T,0.169344,0.024439,1,1
BVR,50,2016-05-19,NA      ,6,S,0.031771,0.100465,1,1
BVR,50,2016-05-19,NA      ,6,T,0.170229,0.120876,1,1
BVR,50,2016-05-19,NA      ,9,S,0.273821,5.79e-4,1,1
BVR,50,2016-05-19,NA      ,9,T,0.581188,0.017848,1,1
BVR,50,2016-05-19,NA      ,11,S,0.484092,0.467567,1,1
BVR,50,2016-05-19,NA      ,11,T,2.419658,1.587424,1,1
BVR,50,2016-05-26,NA      ,0.1,S,0.023,0.001,1,1
BVR,50,2016-05-26,NA      ,0.1,T,0.182,0.031,1,1
BVR,50,2016-05-26,NA      ,3,S,0.011,0.001,1,1
BVR,50,2016-05-26,NA      ,3,T,0.173,0.033,1,1
BVR,50,2016-05-26,NA      ,6,S,0.008,0.001,1,1
BVR,50,2016-05-26,NA      ,6,T,0.192,0.061,1,1
BVR,50,2016-05-26,NA      ,9,S,2.32,0.86,1,1
BVR,50,2016-05-26,NA      ,9,T,2.01,0.659,1,1
BVR,50,2016-05-26,NA      ,11,S,6.55,1.21,1,1
BVR,50,2016-05-26,NA      ,11,T,6.23,1.18,1,1
BVR,50,2016-05-29,NA      ,0.1,S,0.004,0.001,1,1
BVR,50,2016-05-29,NA      ,0.1,T,0.144,0.021,1,1
BVR,50,2016-05-29,NA      ,3,S,0.004,0.001,1,1
BVR,50,2016-05-29,NA      ,3,T,0.13,0.023,1,1
BVR,50,2016-05-29,NA      ,6,S,0.004,0.001,1,1
BVR,50,2016-05-29,NA      ,6,T,0.132,0.058,1,1
BVR,50,2016-05-29,NA      ,9,S,0.062,0.558,1,1
BVR,50,2016-05-29,NA      ,9,T,0.717,0.508,1,1
