ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/31/2023 - 23,0.1,"1,072.40",437.5,27.9,"2,398.50",30.5,-0.4,-0.3,724,"1,177.10",0.6,-0.4,0.1,341.8,298.7,0.2,0.2,0.7,4.4,0,0.1,7.9,0.2,0,0,0.2,47.1,0.2,0.1
07/31/2023 - 25,0.1,"1,085.50",432.7,30.8,"3,820.00",20.8,-0.9,-0.3,805.6,"1,272.90",0.6,-0.3,0.2,"9,426.20",876.3,2,0.3,0.8,6.2,0.1,0.1,8.6,0.2,0,0,0.1,23.4,0.1,0
08/07/2023 - 3,0.2,"1,564.70",552.6,18.9,"4,183.90",23.8,-0.7,-0.2,514.3,"1,305.10",0.7,-0.3,0.2,406.6,11.9,0.1,0.2,0.8,1.9,0,0.2,8.6,0.1,0,0,0.1,9.5,0.1,0
08/07/2023 - 5,0.2,"1,580.50",595.2,14.9,"4,372.90",29.9,-0.8,0.1,626.8,"1,600.90",0.6,-0.4,0.2,531.2,299.6,0.5,0.2,0.4,2.9,0,0.1,10.7,0,0,0,0.1,23.4,0.1,0
08/07/2023 - 15,0.4,"1,710.40",530.8,265.7,"5,727.30",30.7,-0.9,-0.3,634.1,"1,549.90",4.6,0,0.4,334.7,33.2,0.2,0.3,0.5,3.4,0,0,10.1,0,0,0,0.1,14.5,0.3,0
08/07/2023 - 21,0.1,"1,097.40",400.7,11.6,"2,631.20",15.9,-0.7,-0.3,616.3,847.6,0.4,-0.4,0.2,266.7,8.1,0.1,0.2,0.2,2.2,0,-0.1,6.1,0,0,0,0,10.2,0.1,0
08/07/2023 - 23,0,"1,119.20",460.4,9,"2,711.10",18.4,-0.5,-0.2,777.8,"1,207.10",0.4,-0.4,0.2,831.4,701.6,0.6,0.5,0.3,2.7,0,0,8.2,0,0,0,0,34.8,0.1,0
08/07/2023 - 25,0.1,"1,070.70",430.3,10.1,"3,628.50",20,-1,-0.3,791.1,"1,233.10",0.4,-0.4,0.2,"8,451.00",876.2,1.8,0.3,0.4,8.5,0.1,0.1,8.5,0.1,0,0,0,26.6,0.1,0
08/14/2023 - 17,0.3,"1,818.10",847.4,210.8,"5,901.30",61.6,-1,-0.1,815.5,"2,069.30",5.3,0.3,0.5,"3,636.90",103.6,0.8,0.3,0.7,3.6,0,0,14,0,0,0,0,20.1,0.3,0
08/22/2023 - 5,0.2,"1,619.70",597.3,11.5,"4,338.90",35,-0.8,0,657.6,"1,599.40",0.6,-0.4,0.4,686.5,401.7,0.8,0.2,0.6,1.8,-0.1,0,10.8,0,0,0,0,26,0.2,0
08/22/2023 - 25,0.1,"1,079.50",435.6,6.9,"4,102.00",20.1,-1,-0.3,839.2,"1,270.70",0.7,-0.4,0.3,"13,510.60",946.4,1.9,0.2,0.2,1.3,0.2,0.1,9,0.4,0,0,0.2,26.7,0.1,0.1
08/29/2023 - 15,0.4,"1,911.10",530.5,137.5,"6,085.70",25.3,-1,-0.3,653.1,"1,540.70",3,-0.2,0.4,176.6,18.4,0.1,0.2,0.5,3.3,0,0.1,10.1,0.1,0,0,0.1,11.5,0.3,0
08/29/2023 - 25,0.1,"1,089.20",437.2,5.2,"4,051.90",18.8,-1.1,-0.3,858.3,"1,273.40",0.5,-0.4,0.4,"13,757.50",990.6,2,0.2,0.2,1.7,0.1,0.1,9.1,0.2,0,0,0.1,29.1,0,0
09/05/2023 - 1,0.2,"1,652.00",573.8,13,"4,106.60",20.3,-0.9,-0.2,584.9,"1,348.40",0.9,-0.4,0.3,293.8,7.4,0.1,2.4,2.4,3.9,0,0,9.1,0,0,0,0.1,10.9,1.4,0
09/05/2023 - 3,0.2,"1,669.30",581.2,20.8,"4,119.20",21.9,-1,-0.2,577.9,"1,372.60",1.2,-0.4,0.8,344.2,7.3,0.1,1.7,1.2,6,0,-0.2,9.2,0,0,0,0.1,11.1,0.6,0
09/05/2023 - 5,0.1,"1,601.50",596,4.2,"4,415.00",28.6,-0.9,-0.1,674.2,"1,590.30",0.5,-0.4,0.4,975.6,468.1,1,0.5,0.4,1.1,-0.1,-0.1,10.8,0,0,0,0,28.4,0,0
09/05/2023 - 6,0.2,"1,845.20",608.2,4.8,"4,445.50",9.9,-1,-0.1,657.9,"1,653.70",0.5,-0.5,0.3,195.9,497.8,1.1,0.5,0.3,1,-0.1,0.1,10.9,0,0,0,0,25,0.4,0
