ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2023 - 14,0.4,"3,657.3","1,338.5",5.8,"8,260.2",1.5,0.8,0.1,"1,286.4","3,389.1",-0.1,-0.2,0.0,132.0,882.4,1.9,0.1,0.6,0.8,0.1,-3.0,22.2,0.0,0.0,0.0,53.0,0.0,0.0
10/31/2023 - 16,0.6,"4,568.9","1,280.7",14.0,"12,455.6",27.3,0.6,-0.1,"1,793.6","3,193.2",0.3,0.0,0.0,46.3,20.1,0.0,0.1,0.2,1.5,0.0,-2.9,20.0,0.0,0.1,0.0,19.9,0.0,0.0
10/31/2023 - 20,0.2,"2,881.2",986.5,4.3,"5,571.5",2.4,0.6,0.4,"1,533.1","2,429.1",0.1,-0.1,0.0,808.7,168.4,0.2,0.1,0.2,4.2,0.2,-2.6,15.3,0.0,0.0,0.1,24.9,0.1,0.1
10/31/2023 - 21,0.2,"2,445.6",943.5,7.8,"5,616.3",10.9,0.7,-0.2,"1,514.7","2,078.5",0.0,-0.1,0.0,"1,903.8",195.3,0.3,0.1,0.1,0.5,0.2,-2.9,15.1,0.0,0.0,0.0,34.5,0.1,0.0
10/31/2023 - 22,0.2,"2,791.7",973.0,3.0,"5,532.8",2.1,0.7,0.0,"1,559.4","2,226.0",-0.1,-0.1,-0.2,892.5,196.8,0.2,0.1,0.2,0.9,0.2,-2.9,15.3,0.0,0.0,0.0,27.3,0.0,0.0
10/31/2023 - 23,0.2,"2,429.8",932.4,7.7,"5,546.0",8.0,0.7,-0.2,"1,490.4","2,057.8",-0.1,-0.1,0.0,"2,503.7",249.5,0.4,0.1,0.2,0.7,0.2,-2.8,15.0,0.0,0.0,0.0,37.6,0.1,0.0
10/31/2023 - 24,0.2,"2,777.3",965.2,4.4,"5,546.9",1.3,0.6,-0.1,"1,488.3","2,145.6",-0.3,-0.1,0.0,"1,100.8",262.1,0.4,0.1,0.1,0.7,0.1,-3.0,15.3,0.0,0.0,0.0,30.6,0.0,0.0
10/31/2023 - 25,0.2,"2,448.6",948.8,5.4,"5,806.8",19.4,0.7,-0.1,"1,548.0","2,173.9",-0.2,-0.1,0.0,"4,623.6",361.2,0.7,0.1,0.1,0.8,0.2,-2.9,15.9,0.0,0.0,0.0,48.9,0.0,0.0
10/31/2023 - 26,0.2,"2,734.1",969.6,2.1,"5,658.2",1.1,0.7,0.0,"1,560.1","2,200.1",-0.3,-0.2,0.0,"1,619.0",366.0,0.6,0.2,0.0,20.9,0.1,-3.0,15.6,0.0,0.0,0.0,35.1,0.0,0.0
11/06/2023 - 1,0.4,"3,511.4","1,317.7",4.0,"6,597.2",32.8,0.8,0.0,"1,312.6","3,022.5",-0.1,-0.1,0.0,344.3,134.2,0.2,0.1,1.2,1.0,0.1,-2.9,19.9,0.0,0.0,0.0,28.8,0.0,0.0
11/06/2023 - 2,0.4,"4,027.2","1,306.1",2.0,"6,440.7",4.2,0.7,0.0,"1,230.1","3,044.1",-0.2,-0.1,0.0,41.7,20.1,0.0,0.1,0.8,0.5,0.1,-3.1,19.4,0.0,0.0,0.0,21.5,0.0,0.0
11/06/2023 - 3,0.4,"3,600.0","1,298.6",19.8,"6,440.9",37.8,0.8,0.1,"1,447.5","3,085.4",-0.1,-0.1,0.2,349.1,136.8,0.3,0.8,2.3,14.8,0.1,-3.1,19.8,0.0,0.3,0.3,28.7,0.3,0.0
11/06/2023 - 4,0.4,"4,115.6","1,314.0",1.9,"6,451.5",2.7,0.8,0.1,"1,175.7","3,110.8",0.1,-0.1,0.0,14.4,17.5,0.0,0.1,0.6,0.3,0.1,-2.7,19.7,0.0,0.0,0.0,22.4,0.0,0.1
11/06/2023 - 5,0.4,"3,428.8","1,271.6",5.1,"6,571.8",28.4,0.8,0.0,"1,286.8","2,956.5",0.0,-0.1,0.0,367.9,149.5,0.5,0.1,1.2,0.7,0.1,-3.0,19.5,0.0,0.0,0.0,29.3,0.0,0.0
11/06/2023 - 6,0.4,"4,018.3","1,306.1",1.9,"6,603.4",2.5,0.9,0.1,"1,285.4","3,038.5",-0.1,-0.1,0.0,28.2,21.0,0.0,0.1,0.6,0.3,0.1,-2.9,19.6,0.0,0.0,0.0,22.6,0.0,0.0
11/06/2023 - 7,0.4,"3,447.6","1,271.3",7.7,"6,636.4",25.7,0.8,0.0,"1,285.8","2,933.6",0.1,-0.1,0.1,424.6,160.9,0.3,0.1,1.2,2.6,0.1,-3.0,19.6,0.0,0.0,0.0,29.3,0.0,0.0
11/06/2023 - 8,0.4,"3,846.2","1,313.7",2.2,"6,660.1",2.5,0.8,0.2,"1,327.3","3,122.9",-0.2,-0.1,0.0,41.3,26.2,0.0,0.1,0.7,0.6,0.1,-3.0,20.1,0.0,0.0,0.0,22.8,0.0,0.0
11/06/2023 - 9,0.4,"3,449.5","1,282.9",9.0,"6,711.1",25.4,0.8,0.0,"1,278.9","2,939.9",0.0,-0.1,0.0,459.8,167.0,0.3,0.1,1.3,1.1,0.1,-3.0,19.6,0.0,0.0,0.0,29.5,0.0,0.0
11/06/2023 - 10,0.4,"4,007.8","1,310.5",2.4,"6,649.5",2.5,0.7,0.2,"1,260.7","3,065.0",-0.2,-0.1,0.0,37.6,29.9,0.0,0.1,0.7,0.6,0.1,-3.2,20.0,0.0,0.0,0.0,23.4,0.0,0.0
11/06/2023 - 11,0.4,"3,453.1","1,263.0",10.7,"6,653.9",26.1,0.7,0.0,"1,268.2","2,951.5",0.1,-0.1,0.0,488.5,165.8,0.3,0.1,1.4,1.5,0.1,-2.9,19.4,0.0,0.0,0.0,29.5,0.0,0.0
11/06/2023 - 12,0.4,"3,972.5","1,290.8",2.3,"6,563.1",2.6,0.8,0.0,"1,225.8","3,040.5",-0.2,-0.1,0.0,33.8,32.0,0.0,0.1,0.6,0.2,0.1,-2.9,19.7,0.0,0.0,-0.1,21.9,0.0,0.0
11/06/2023 - 13,0.4,"3,409.6","1,256.2",9.7,"6,637.1",24.4,0.7,0.0,"1,265.5","2,911.9",0.0,-0.1,0.0,455.3,164.6,0.3,0.1,1.4,0.8,0.1,-3.1,19.4,0.0,0.0,-0.1,29.0,0.0,0.0
11/06/2023 - 14,0.4,"3,992.5","1,303.0",1.8,"6,605.9",2.0,0.7,0.1,"1,229.7","3,057.9",0.1,-0.1,0.1,26.0,30.0,0.0,0.1,0.6,2.3,0.1,-2.5,19.7,0.0,0.0,0.0,22.2,0.0,0.1
11/06/2023 - 19,0.2,"2,439.5",943.7,7.6,"5,574.8",11.3,0.6,-0.2,"1,505.7","2,080.7",0.0,-0.1,0.0,"1,745.1",158.4,0.3,0.1,0.1,0.6,0.2,-3.1,15.1,0.0,0.0,0.0,32.7,0.0,0.0
11/06/2023 - 20,0.3,"3,810.3",956.6,3.6,"5,525.9",2.1,0.6,0.1,"1,321.9","2,149.4",-0.2,-0.1,0.0,"1,052.9",132.3,0.2,0.1,0.1,0.5,0.2,-3.1,14.6,0.0,0.0,0.0,22.0,0.0,0.0
11/06/2023 - 21,0.2,"2,446.9",942.0,8.6,"5,578.5",12.9,0.6,-0.1,"1,506.9","2,077.6",-0.1,-0.1,0.0,"1,894.0",164.1,0.3,0.1,0.1,0.2,0.2,-3.1,15.1,0.0,0.0,0.0,32.9,0.0,0.0
11/06/2023 - 22,0.2,"2,717.6",942.9,3.5,"5,501.0",1.9,0.6,-0.1,"1,527.3","2,110.3",-0.2,-0.1,0.0,"1,020.0",167.0,0.2,0.1,0.2,0.2,0.1,-2.9,14.8,0.0,0.0,0.0,26.8,0.0,0.0
11/06/2023 - 23,0.2,"2,437.9",929.9,9.1,"5,563.9",10.9,0.5,-0.2,"1,506.4","2,067.7",-0.1,-0.1,0.0,"1,996.3",176.4,0.3,0.1,0.1,0.0,0.2,-3.2,15.0,0.0,0.0,0.0,33.3,1.1,0.0
11/06/2023 - 24,0.2,"3,580.4",952.5,3.5,"5,582.8",2.5,0.6,0.0,"1,255.7","2,199.0",-0.2,-0.1,0.1,"1,047.3",135.7,0.2,0.2,0.1,1.3,0.1,-2.9,14.8,0.0,0.0,0.0,22.0,0.0,0.0
11/06/2023 - 26,0.2,"3,174.4",967.9,4.0,"5,531.9",3.0,0.6,-0.1,"1,384.4","2,205.9",-0.3,-0.1,0.0,"1,073.4",149.4,0.2,0.1,0.1,0.6,0.1,-3.1,14.9,0.0,0.0,0.0,24.1,0.0,0.0
