ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2023 - 11,0.4,"3,128.7","1,317.4",3.5,"9,080.5",13.1,0.5,0.2,"1,201.6","3,516.2",0.2,-0.1,0.0,"2,454.0","1,256.2",2.7,0.3,0.7,3.9,-0.5,-2.4,22.9,0.0,0.0,0.0,68.1,0.1,0.0
10/03/2023 - 12,0.4,"3,414.3","1,339.8",2.0,"8,906.4",0.8,0.5,0.2,"1,221.7","3,569.7",0.1,-0.1,0.0,74.9,"1,293.1",2.7,0.3,0.4,3.5,-0.5,-2.6,22.9,0.0,0.0,0.0,64.5,0.1,0.0
10/03/2023 - 13,0.4,"3,157.3","1,325.7",4.0,"9,124.8",14.2,0.5,0.2,"1,216.9","3,517.9",0.4,-0.1,0.1,"2,413.4","1,237.9",2.6,0.3,0.7,4.0,-0.4,-2.0,23.1,0.0,0.0,0.0,67.3,0.1,0.1
10/03/2023 - 14,0.4,"3,352.4","1,317.8",2.1,"8,840.2",0.9,0.4,0.1,"1,208.5","3,467.5",0.2,-0.1,0.0,82.1,"1,292.2",2.7,0.3,0.4,4.2,-0.4,-2.4,22.7,0.0,0.0,0.0,64.7,0.1,0.0
10/03/2023 - 15,0.6,"3,941.3","1,068.6",24.7,"12,043.5",19.3,0.1,-0.1,"1,255.2","2,871.6",0.6,0.1,0.1,51.4,15.3,0.0,0.4,0.8,2.4,-0.5,-2.3,18.3,0.0,0.9,0.8,19.5,0.1,0.0
10/03/2023 - 16,0.6,"4,286.0","1,090.5",5.6,"11,964.9",18.2,0.0,-0.1,"1,266.6","2,968.5",0.4,0.1,0.1,22.4,12.5,0.0,0.1,0.2,1.3,-0.5,-2.4,18.5,0.0,0.1,0.0,13.6,0.1,0.0
10/03/2023 - 19,0.3,"2,425.3",915.8,12.5,"5,213.3",21.3,0.3,0.0,"1,526.3","1,955.0",0.1,-0.1,0.1,398.4,56.7,0.1,0.8,1.1,7.5,-0.3,-2.2,13.9,0.0,0.1,0.1,29.1,0.4,0.0
10/03/2023 - 20,0.3,"3,021.1",935.9,3.1,"5,240.0",1.9,0.3,0.0,"1,280.2","2,048.7",-0.2,-0.1,0.1,86.8,0.5,0.0,0.2,0.3,4.3,-0.4,-2.3,13.4,0.0,0.0,0.0,13.1,0.2,0.0
10/03/2023 - 21,0.3,"2,391.6",919.6,4.5,"5,189.2",13.7,0.3,-0.1,"1,447.2","1,951.3",-0.1,-0.1,0.0,336.9,58.5,0.1,0.2,0.3,3.6,-0.4,-2.2,13.6,0.0,0.1,0.0,27.7,0.1,0.0
10/03/2023 - 22,0.3,"2,779.6",919.3,3.2,"5,169.0",2.9,0.3,0.0,"1,412.3","2,008.1",-0.2,-0.1,0.1,82.1,1.4,0.0,7.6,0.4,4.3,-0.4,-2.4,13.2,0.0,0.1,0.0,14.6,0.1,0.0
