ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Nov,[Note:  4 samples had solids in the bottom so I didn't run those],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/09/2020 - 7,0.4,"2,610.4","1,097.0",20.8,"7,558.0",28.0,0.6,-0.3,"1,265.3","2,891.0",0.9,0.1,0.1,"2,030.7",814.2,1.8,0.1,0.7,0.5,0.1,0.8,18.7,0.0,0.0,0.0,0.1,42.4,0.3,0.0
09/09/2020 - 8,0.3,"2,631.0","1,111.5",17.5,"7,593.9",0.4,0.5,-0.3,"1,240.8","2,943.5",0.7,0.1,0.1,701.5,880.6,2.0,0.1,0.5,7.8,0.1,0.8,18.9,0.0,0.0,0.0,0.0,42.8,0.2,0.0
09/09/2020 - 9,0.3,"2,679.0","1,176.7",17.4,"7,955.6",14.3,0.6,-0.3,"1,211.1","3,254.9",0.7,0.1,0.1,"2,129.6","1,303.7",3.1,0.2,0.4,0.9,0.1,0.7,20.9,0.0,0.0,0.0,0.0,49.1,0.2,0.0
09/09/2020 - 10,0.3,"2,707.2","1,190.1",13.4,"7,901.1",-1.3,0.5,-0.3,"1,216.8","3,273.7",0.6,0.0,0.1,89.2,"1,313.8",3.1,0.3,0.2,22.0,0.1,0.8,21.2,0.0,0.0,0.0,-0.1,49.7,0.2,0.0
09/09/2020 - 11,0.3,"2,704.2","1,184.0",17.4,"7,992.6",15.1,0.5,-0.3,"1,224.1","3,244.7",0.8,0.1,0.1,"2,082.5","1,283.4",3.1,0.2,0.4,1.1,0.1,0.9,21.0,0.0,0.0,0.0,0.0,49.4,0.2,0.0
09/09/2020 - 12,0.3,"2,670.0","1,173.9",13.7,"7,895.7",-1.2,0.4,-0.4,"1,210.8","3,236.7",0.7,0.0,0.1,143.3,"1,279.0",3.0,0.2,0.2,6.1,0.1,0.8,20.8,0.0,0.0,0.0,-0.1,47.6,0.2,0.0
09/09/2020 - 14,0.3,"2,754.4","1,194.1",14.6,"8,096.8",1.2,0.6,-0.3,"1,225.3","3,248.9",0.7,0.0,0.1,358.8,"1,280.5",2.9,0.2,0.2,4.5,0.1,0.9,20.8,0.0,0.0,0.0,-0.1,52.0,0.2,0.0
09/11/2020 - 1,0.4,"2,567.0",947.6,21.6,"7,251.3",14.0,0.6,-0.4,"1,194.9","2,121.3",0.8,0.2,0.1,299.1,15.3,0.1,0.1,0.9,0.7,0.1,0.8,13.3,0.0,0.0,0.0,-0.1,17.0,0.2,0.0
09/11/2020 - 2,0.4,"2,596.8",867.9,21.2,"7,118.7",1.7,0.5,-0.4,"1,141.9","1,852.0",0.7,0.2,0.1,133.8,2.9,0.1,0.2,1.5,6.4,0.1,0.7,12.1,0.0,0.0,0.0,0.2,14.0,0.2,0.0
09/11/2020 - 3,0.4,"2,550.6",945.5,23.8,"7,102.2",16.3,0.4,-0.5,"1,172.8","2,135.7",0.8,0.2,0.1,355.4,16.2,0.1,0.1,0.9,0.5,0.1,0.7,13.5,0.0,0.0,0.0,0.1,18.5,0.2,0.0
