ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick 29,0.3,"2,626.1",927.8,16.7,"7,218.1",13.2,-0.4,19.3,"1,194.7","2,128.1",0.6,0.2,0.1,383.1,73.5,0.2,18.2,"1,206.7","1,844.0",0.2,-0.5,13.8,-0.3,0.0,0.0,0.2,19.8,31.8,0.0
Nick 30,0.3,"2,750.7",936.8,18.6,"7,384.8",11.5,-0.3,5.0,"1,210.2","2,106.2",0.5,0.2,0.1,340.5,67.8,0.1,13.9,"1,126.2","1,567.0",0.2,-0.2,13.9,-0.3,0.0,0.0,0.3,19.1,12.7,0.0
Nick 31,0.2,"2,691.5","1,155.9",17.1,"8,021.5",16.5,-0.7,1.9,"1,260.5","3,178.6",0.6,0.2,0.1,"4,364.9","1,899.3",4.4,9.0,600.0,"1,117.1",0.2,-0.4,21.4,-0.3,0.0,0.0,0.3,72.2,10.0,0.0
Nick 32,0.2,"2,736.7","1,153.1",15.2,"7,774.2",14.6,-0.7,1.4,"1,238.9","3,168.3",0.6,0.1,0.2,"3,543.4","1,514.2",3.6,5.4,364.3,"1,029.5",0.2,-0.3,21.2,-0.3,0.0,0.0,0.9,61.5,8.1,0.0
Nick 33,0.2,"2,751.7","1,155.1",14.9,"7,753.9",15.4,-0.6,1.0,"1,230.9","3,140.1",0.6,0.1,0.2,"3,545.2","1,512.6",3.6,4.5,206.3,755.4,0.2,-0.3,21.1,-0.3,0.0,0.0,0.8,61.0,5.4,0.0
Nick 34,0.2,"2,713.7","1,193.7",12.4,"7,930.7",16.5,-0.6,0.6,"1,263.2","3,291.6",0.6,0.1,0.1,"3,906.1","1,589.8",3.8,2.6,78.7,421.2,0.2,-0.3,22.1,-0.3,0.0,0.0,0.2,64.8,2.9,0.0
Nick 35,0.3,"2,699.0","1,036.2",20.9,"7,821.4",13.4,-0.4,0.3,"1,302.9","2,401.0",0.8,0.1,0.1,398.5,85.8,0.2,0.0,0.6,0.7,0.1,-0.2,15.6,-0.3,0.0,0.0,-0.2,22.3,0.2,0.0
Nick 36,0.3,"2,671.1","1,016.0",14.5,"7,757.9",-5.5,-0.6,0.3,"1,265.2","2,345.9",0.6,0.1,0.1,86.3,23.3,0.0,0.0,0.3,-1.5,0.1,-0.2,15.2,-0.3,0.0,0.0,-0.3,19.9,0.2,0.0
Nick 37,0.3,"2,648.5","1,021.8",18.3,"7,787.9",10.2,-0.4,0.3,"1,293.2","2,346.1",0.5,0.1,0.1,329.8,71.3,0.1,0.0,0.4,-4.5,0.1,-0.3,15.5,-0.3,0.0,0.0,-0.3,21.8,0.2,0.0
Nick 38,0.3,"2,652.5","1,013.2",17.8,"7,730.8",-5.2,-0.5,0.2,"1,254.4","2,287.5",0.4,0.1,0.1,74.8,19.3,0.0,0.0,0.2,-4.5,0.1,-0.2,15.2,-0.4,0.0,0.0,-0.3,19.6,0.2,0.0
