ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick/Steve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.4,2710.7,968.6,25.2,7898.3,24.7,0.3,0.9,914.8,2213.7,-1.2,0.1,0.1,511.4,154.8,0.3,0.2,1.1,5.4,0.1,0,14.8,0,0,0,-0.1,26.7,1.2,0
36,0.4,2720,960.2,17.3,7839,10.6,0.3,1,906.2,2186.6,0.6,0.1,0.2,66.4,128.3,0.2,0.2,0.6,3.9,0,0.1,14.4,0.1,0,0,-0.1,21,1.1,0
37,0.4,2613.9,971.5,20.8,7873.4,30.3,0.3,1,968.6,2314.1,0.9,0.1,0.2,2678.7,489.9,1.2,0.2,1.1,4.1,0.1,0.1,15.5,0,0,0,-0.1,30.3,1.2,0
38,0.3,2594.5,962.1,16.4,7756.6,11.6,0.2,1,961.2,2273.2,0.7,0.1,0.2,2356.6,492.8,1.2,0.2,0.4,6.3,0.1,-0.1,15.3,0.2,0,0,-0.2,27,1.1,0
39,0.4,2584.5,977.1,25,7896.5,30.7,0.3,1,989.4,2361.6,0.9,0.1,0.1,5679.7,726.7,1.9,0.2,1.4,3.2,0.1,0.1,16,0.2,0,0,0.2,35.6,1.1,0
40,0.4,2600.5,976.6,16.7,7894.4,21.2,0.2,1,990.1,2347.8,0.7,0.1,0.2,5055.4,695.1,1.8,0.2,0.3,5,0.1,0,15.8,0.2,0,0,0,32.8,1.2,0
41,0.4,2589.1,980.8,20.1,7843.7,33.1,0.2,1,997,2392.3,0.8,0.1,0.2,6377.4,761.4,1.9,0.3,1.3,3.3,0.1,0,16.3,0.2,0,0,0,37.8,1.2,0
42,0.4,2571,967,16.1,7823,20.6,0.1,1,986.8,2367.7,0.6,0.1,0.2,5879.1,741.7,1.8,0.2,0.3,4.3,0.1,-0.1,16.1,0.3,0,0,-0.1,35.7,1.1,0
43,0.4,2911.6,960,58.1,8828.5,46,0.3,1,1128.8,2111.4,1.6,0.4,0.2,589.9,33,0.2,0.2,1.1,15.7,0.1,0,13.6,0,0,0,-0.1,11.8,1.2,0
44,0.4,2878,898.1,36.7,8882.3,11.7,0,2.2,2431.9,1896.8,1,0.4,0.2,406.5,13.1,0.2,0.1,0.9,3.8,0.1,0,12.8,0.8,0,0,-0.1,9.2,1.1,0
